読み方	日本語	英語
とりつ	都立	metropolitan, Tokyo metropolitan
としん	都心	heart of a city
とちょう	都庁	Tokyo Metropolitan City Hall
とし	都市	cities, urban community
つごう	都合	circumstances
とない	都内	in the metropolitan area of Tokyo
とかい	都会	city, town
と	都	metropolis of Tokyo
みやこ	都	capital, city
ゆうそう	郵送	mailing
ゆうびんやさん	郵便屋さん	mailman
ゆうびんきょく	郵便局	post office
ゆうびん	郵便	mail service, postal matter
ぶもん	部門	division, department
ぶちょう	部長	section chief, department head
へや	部屋	room
ぶひん	部品	parts, accessories
ぶぶん	部分	part, section
ぶか	部下	subordinate
ぐん	郡	county
こうがい	郊外	suburbs, outskirts
じゃま	邪魔	disturbing
じゃま	邪魔	hindrance, obstruction
ひなん	避難	refuge, shelter
さける	避ける	avoid, evade
せんきょ	選挙	election
せんたく	選択	selection, choice
せんしゅ	選手	representative athlete
えらぶ	選ぶ	choose, elect
あう	遭う	meet with, encounter
てきよう	適用	application
てきおう	適応	adaptation, adjustment
てきとう	適当	suitable, appropriate
てきど	適度	moderate, proper
てきせつ	適切	appropriate, adequate
てきする	適する	suit, be suitable
はるか	遥か	far, distant
えんそく	遠足	excursion, hike
えんりょ	遠慮	reserve, hesitation, forethought
とおく	遠く	great distance
とおい	遠い	far, distant
いはん	違反	violation, breach
ちがう	違う	differ, be wrong
ちがいない	違いない	no mistaking it, for certain
ちがい	違い	difference, mistake
たっせい	達成	attain, achieve
たっする	達する	attain, reach
みちじゅん	道順	route, itinerary
どうろ	道路	road, street
どうとく	道徳	morality, morals
どうぐ	道具	tool
みち	道	road, street
かてい	過程	process, course
かこ	過去	the past
かろう	過労	overwork
あやまち	過ち	fault, mistake
すごす	過ごす	pass, let pass
すぎる	過ぎる	pass by, exceed
うんそう	運送	shipping, transportation
うんてんしゅ	運転手	driver
うんてん	運転	drive
うんちん	運賃	passenger fare
うんよう	運用	operation, management
うんえい	運営	operation, management
うんめい	運命	fate, fortune
うんどうじょう	運動場	playground, sports field
うんどうじょう	運動場	playground, sports field
うんどうかい	運動会	sports festival, athletic meet
うんどう	運動	movement, exercise
はこぶ	運ぶ	carry, transport
うん	運	fortune, fate
ゆうえんち	遊園地	amusement park
あそぶ	遊ぶ	play
あそび	遊び	play, amusement
ちこく	遅刻	tardiness, lateness
おくれる	遅れる	be late
おくれ	遅れ	delay, being late
おくらす	遅らす	delay, put off
おそい	遅い	slow, late
とげる	遂げる	accomplish, achieve
しんろ	進路	course, route
しんこう	進行	advancement
しんぽ	進歩	progress, advancement
しんがく	進学	entering a school of higher grade
しんしゅつ	進出	advancement
すすめる	進める	advance, promote
すすむ	進む	advance, move forward
しゅうまつ	週末	weekend
しゅうかんし	週刊誌	weekly magazine
しゅうかん	週刊	published weekly
しゅうきゅう	週休	weekend
しゅう	週	week
たいほ	逮捕	arrest, capture
れんぞく	連続	continuation, succession
れんらく	連絡	connection, communication
れんじつ	連日	day after day, everyday
れんきゅう	連休	consecutive holidays
つれる	連れる	take along, bring along
つれていく	連れて行く	take (a person) along
つれてくる	連れて来る	bring (a person)
つれ	連れ	companion
あう	逢う	meet
そくたつびん	速達便	special delivery, express mail
そくたつ	速達	special delivery, express mail
そくど	速度	speed, velocity
はやさ	速さ	speed
はやい	速い	fast
つうか	通過	passing, passage
つうろ	通路	passage, alley
つうやく	通訳	interpreting
つうこうどめ	通行止め	road closed
つうこう	通行	passage, traffic
つうち	通知	notification
つうじょう	通常	common, ordinary
つうちょう	通帳	bankbook, passbook
つうがく	通学	attending school, going to school
つうきん	通勤	commuting, commutation
つうしん	通信	correspondence, communication
とおる	通る	pass, take, go through
とおりすぎる	通り過ぎる	go past, pass
とおりかかる	通り掛かる	happen to pass by
とおり	通り	passage, street
とおす	通す	let pass, run through
つうじる	通じる	pass, communicate with
かよう	通う	go to and from, frequent a place
とちゅう	途中	on the way, half way
とうめい	透明	transparent
すきとおる	透き通る	be transparent
さからう	逆らう	disobey, go against
さかさま	逆さま	upside-down, reverse
さかさ	逆さ	reverse, inversion
ぎゃく	逆	reverse, inverse
にげみち	逃げ道	escape route
にげだす	逃げ出す	make a break for, run off
にげる	逃げる	escape, run away
にがす	逃がす	let go
そうきん	送金	money transfer, remittance
そうべつかい	送別会	farewell party
そうべつ	送別	farewell, send-off
おくる	送る	send
おくりがな	送り仮名	kana suffix
たいいん	退院	discharge from a hospital
たいしょく	退職	retirement, resignation
たいくつ	退屈	boring, tedious
たいがく	退学	withdrawal from school
ついせき	追跡	pursuit, chase
ついとつ	追突	collision
ついほう	追放	banishment, deportation
ついか	追加	addition
ついしん	追伸	P.S.
おう	追う	chase, pursue
おいこす	追い越す	outrun, overtake
おいかける	追い掛ける	chase, run after
おいぬく	追い抜く	pass, overtake
おいだす	追い出す	turn out, kick out
おいつく	追い付く	overtake, catch up with
めいわく	迷惑	trouble, annoyance
まいご	迷子	lost child, lost person
めいしん	迷信	superstition
まよう	迷う	be perplexed, hesitate, get lost
のべる	述べる	state orally, expound, mention
せまる	迫る	press, close in on, be imminent
へんきゃく	返却	return
へんじ	返事	answer, reply
かえる	返る	be restored to, return to
かえす	返す	return, repay
ちかごろ	近頃	recently, nowadays
きんこう	近郊	suburbs, outskirts
ちかみち	近道	shortcut
きんし	近視	nearsightedness, shortsightedness
きんがん	近眼	nearsightedness, shortsightedness
きんじょ	近所	neighborhood
ちかよる	近寄る	go near, approach
きんだい	近代	modern times
ちかづける	近付ける	bring close
ちかづく	近付く	approach, get acquainted
ちかく	近く	near, close to
ちかく	近く	vicinity, nearby
ちかい	近い	near, soon
むかえる	迎える	welcome, go out to meet, invite
むかえ	迎え	greeting, meeting
こめる	込める	put in, concentrate on
あたり	辺り	vicinity, around
へん	辺	vicinity, part
のうみん	農民	peasants, farmers
のうぎょう	農業	agriculture
のうそん	農村	farm village, agricultural community
のうか	農家	farmhouse
じしょ	辞書	dictionary
じてん	辞典	dictionary
じにん	辞任	resignation
やめる	辞める	resign, retire
からい	辛い	spicy, salty
からい	辛い	strict, severe
つらい	辛い	difficult, harsh
ゆそう	輸送	transport, ship
ゆしゅつ	輸出	export
ゆにゅう	輸入	import
かがやく	輝く	shine brilliantly, glitter
のる	載る	appear in print
のせる	載せる	place, put on
けいべつ	軽蔑	contempt, disdain
けいそつ	軽率	rash, light-headed
けいかい	軽快	light, cheerful
かるい	軽い	light, light weight
じく	軸	axis
てんきん	転勤	transfer
ころぶ	転ぶ	tumble down, fall over
ころがる	転がる	roll over, tumble
ころがす	転がす	roll, roll over
ぐんたい	軍隊	army, troops
ぐんじ	軍事	military affairs
ぐん	軍	army, troops
しゃどう	車道	road, roadway
しゃりん	車輪	wheel
くるまいす	車椅子	wheelchair
しゃしょう	車掌	train conductor
しゃこ	車庫	car shed, garage
しゃない	車内	inside a vehicle
くるま	車	car, automobile
くるま	車	car
しんちょう	身長	stature, height
みぢか	身近	near oneself, close to one
みぶり	身振り	gesture, gesticulation
みのまわり	身の回り	one's person, one's appearance
みなり	身なり	dress, one's appearance
み	身	body, one's own person
ける	蹴る	kick
ふみきり	踏切	railroad crossing
ふむ	踏む	step on, tread on
おどる	踊る	dance
おどり	踊り	dance, dancing
はねる	跳ねる	leap, hop, bound
あと	跡	trace, track
きょり	距離	distance, interval
あしくび	足首	ankle
あしおと	足音	sound of footsteps
あしあと	足跡	footprint, footmark
あしもと	足下	step, under foot
たりる	足りる	suffice, serve, be satisfied
たす	足す	add, supplement
たしざん	足し算	addition
あし	足	leg, foot
しゅみ	趣味	hobby, interest
こす	越す	go over, surmount
こえる	越える	go over, go across, go beyond
ちょうか	超過	excess
きげん	起源	origin, beginning
おこる	起こる	happen
おこす	起こす	wake up
おこす	起こす	bring about, cause
おきあがる	起き上がる	get up, rise
おきる	起きる	get up, get out of bed
おきる	起きる	occur
はしる	走る	run
せきどう	赤道	equator
あかじ	赤字	deficit, in the red
あかんぼう	赤ん坊	baby
あかちゃん	赤ちゃん	baby
あかい	赤い	red
あか	赤	red, crimson
おくる	贈る	offer, give
おくりもの	贈り物	present, gift
こうにゅう	購入	purchase
かける	賭ける	bet, stake
しつもん	質問	question
しつ	質	quality, nature
かしこい	賢い	wise, smart
しょうひん	賞品	prize, trophy
しょう	賞	prize, award
さんせい	賛成	approval, agreement
にぎわう	賑わう	bustle, enliven
にぎやか	賑やか	lively, exciting
しきん	資金	funds, capital
しさん	資産	property, assets
しげん	資源	resources
しかく	資格	qualifications, competence
しほんしゅぎ	資本主義	capitalism
しりょう	資料	materials, data
ぼうえき	貿易	trade, commerce
はる	貼る	stick, paste
ひよう	費用	expenses
ついやす	費やす	expend, waste
かす	貸す	lend, lease
かしだす	貸し出す	lend, lend out
かしだし	貸し出し	lending service, checking out
かし	貸し	loan, renting
ばいしゅう	買収	buying up, bribing
かう	買う	buy
かいもの	買い物	shopping, purchase
きちょうひん	貴重品	article of value, valuables
きちょう	貴重	precious, valuable
とうとい	貴い	precious, valuable
ちょきん	貯金	savings, deposit
せきにん	責任	responsibility, liability
はんばい	販売	sale, selling
かもつ	貨物	freight, cargo
かへい	貨幣	money, currency
びんぼうにん	貧乏人	poor person, the poor
びんぼう	貧乏	poverty, destitution
まずしい	貧しい	poor, needy
ざいさん	財産	fortune, asset
ざいせい	財政	public finance, financial affairs
さいふ	財布	purse, wallet
ふたん	負担	burden, charge
ふしょう	負傷	hurt, injury
まける	負ける	lose
まけ	負け	defeat, loss
かい	貝	shellfish, shell
しょうちょう	象徴	symbol, symbolize
ぞう	象	elephant
ぶたにく	豚肉	pork, hog meat
ぶた	豚	pig, pork
ほうふ	豊富	abundant, plentiful
ゆたか	豊か	abundant, ample
とうふ	豆腐	tofu
まめ	豆	bean, peas
たに	谷	valley, ravine
ゆずる	譲る	transfer, concede
ぎだい	議題	topic for discussion, agenda
ぎちょう	議長	chairman, president
ぎろん	議論	argument, discussion
ぎいん	議員	legislator
ぎかい	議会	assembly, council
けいかい	警戒	vigilance, precaution
けいさつ	警察	police
けいかん	警官	police officer, policeman
けいこく	警告	warning, admonition
あやまる	謝る	apologize
こうぎ	講義	lecture
こうえん	講演	lecture
こうし	講師	speaker, lecturer
こうどう	講堂	lecture hall, auditorium
けんそん	謙遜	humility, modesty
なぞ	謎	puzzle, mystery
しょこく	諸国	various countries
あきらめる	諦める	abandon, give up
ろんりてき	論理的	logical
ろんり	論理	logic
ろんぶん	論文	thesis, paper
ろんじる	論じる	argue, discuss
ろん	論	argument, opinion
ちょうせつ	調節	adjustment, regulation
ちょうさ	調査	investigation, inquiry
ちょうせい	調整	regulation, adjustment
ちょうし	調子	tone, condition
ちょうわ	調和	harmony, agreement
ちょうみりょう	調味料	seasoning, flavoring
しらべる	調べる	investigate, check
しらべ	調べ	investigation, inquiry
かだい	課題	task, problem
かちょう	課長	section chief
かてい	課程	course, curriculum
か	課	section, division, lesson
だれか	誰か	someone
だれ	誰	who, whom
どくしゃ	読者	reader, subscriber
どくしょ	読書	reading a book
よむ	読む	read
よみかき	読み書き	reading and writing
よみかた	読み方	way of reading, reading
よみ	読み	reading, judgment, foresight
せつめい	説明	explanation, description
せっとく	説得	persuasion
とく	説く	explain, preach
せつ	説	theory, opinion
ごかい	誤解	misunderstanding
あやまる	誤る	make a mistake
あやまり	誤り	error, mistake
せいじつ	誠実	sincerity, honesty
まことに	誠に	truly, very
ごがく	語学	language study
かたる	語る	tell, talk
さそう	誘う	invite, ask out
たんじょうび	誕生日	birthday
たんじょう	誕生	birth
ちかう	誓う	vow, swear
にんしき	認識	recognition, acknowledgment
にんか	認可	approval, authorization
みとめる	認める	recognize, acknowledge
しょうさい	詳細	details, particulars
くわしい	詳しい	detailed, complete
わだい	話題	topic of conversation
はなす	話す	speak, tell
はなしことば	話し言葉	spoken language
はなしかける	話し掛ける	address someone, speak to someone
はなしごえ	話し声	voice, whisper
はなしあう	話し合う	discuss, talk over
はなしあい	話し合い	talk, discussion
はなし	話	talk, story
つめる	詰める	stuff, fill
つまる	詰まる	be stuffed, be stopped up
わびる	詫びる	apologize
しじん	詩人	poet
し	詩	poetry
しけん	試験	test, examination
しあい	試合	match, game
こころみる	試みる	try, attempt
ためす	試す	try, test
ためし	試し	trial, test
ひょうばん	評判	fame, reputation
ひょうか	評価	evaluation, appraisal
しょうめい	証明	proof, evidence
しょうこ	証拠	proof, evidence
しょうけん	証券	bill, bond
しんだん	診断	diagnosis
しんさつ	診察	medical examination
みる	診る	examine
うったえる	訴える	sue
うったえ	訴え	lawsuit, appeal
やくす	訳す	translate
わけ	訳	reason, cause
やく	訳	translation, rendering
きょか	許可	permission, approval
ゆるす	許す	permit, license, forgive
せっけい	設計	design, plan
せっち	設置	establishment
せつりつ	設立	establishment, foundation
せつび	設備	equipment, facilities
もうける	設ける	set up, establish
ほうもん	訪問	visit
おとずれる	訪れる	visit, call on
たずねる	訪ねる	visit, call on
きろく	記録	record, documentation
きじゅつ	記述	description
きしゃ	記者	journalist, reporter
きおく	記憶	memory, recollection
きねんび	記念日	memorial day, anniversary
きねん	記念	commemoration, memory
きごう	記号	symbol, mark
きにゅう	記入	entry, record
きじ	記事	article, story
くんよみ	訓読み	Japanese pronunciation
くんれん	訓練	training, drill
くん	訓	Japanese reading of kanji
とうろん	討論	debate, discussion
けいさん	計算	calculation
けいかく	計画	plan, project
はかる	計る	compute, measure
けい	計	total
ていせい	訂正	correction, amendment
げんろん	言論	speech, discussion
げんご	言語	language, speech
ことばづかい	言葉遣い	wording, language
ことば	言葉	word, language
ことづける	言付ける	leave a message
いう	言う	say, tell
いいかえす	言い返す	talk back, retort
いいわけ	言い訳	apology, excuse
いいあらわす	言い表わす	express, say
いいかた	言い方	way of speaking, expression
いいかえる	言い換える	express in different words, paraphrase
いいだす	言い出す	begin to speak
ふれる	触れる	touch, come in contact with
さわる	触る	touch, feel
かいしゃく	解釈	interpretation, explanation
かいせつ	解説	explanation, commentary
かいとう	解答	solution, answer
かいけつ	解決	solution, settlement
かいさん	解散	breakup, dissolution
かいほう	解放	release, setting free
とける	解ける	solve, resolve
とく	解く	solve
かくど	角度	angle
かど	角	corner, edge, angle
かんしょう	観賞	ornamental
かんしゅう	観衆	audience
かんそく	観測	observation
かんさつ	観察	observation, supervision
かんきゃく	観客	audience, spectator
かんこう	観光	sightseeing
しんるい	親類	relatives, kin
おやゆび	親指	thumb
しんせき	親戚	a relative
おやこ	親子	parent and child
しんぜん	親善	goodwill, friendly relations
しんゆう	親友	close friend
しんせつ	親切	kind, friendly
しんせつ	親切	kindness
したしむ	親しむ	get close to, get familiar with
したしみ	親しみ	intimacy, familiarity
したしい	親しい	intimate, familiar
おや	親	parent
かくご	覚悟	readiness, resolution
さめる	覚める	awake, wake up
さます	覚ます	awaken, wake up
おぼえる	覚える	memorize, learn
おぼえ	覚え	recollection, memory
してん	視点	viewpoint
きぼ	規模	scale, scope
きてい	規定	regulation, provision
きそく	規則	rule, regulation
きせい	規制	regulation, control
みちがえる	見違える	mistake, fail to recognize
みとおし	見通し	perspective, prospect
みおくる	見送る	see (someone) off
みおくり	見送り	seeing someone off
みこみ	見込み	hope, prospect
けんかい	見解	opinion, view
みおぼえ	見覚え	recognition, remembrance
みおとす	見落とす	miss, fail to notice
みまう	見舞う	visit someone
みまい	見舞い	personal visit
みならう	見習う	learn, follow someone's example
みなおす	見直す	reconsider, change one's opinion for the better
けんぶつにん	見物人	spectator, sightseer
けんぶつ	見物	sightseeing, visit
みわたす	見渡す	look out over
みくらべる	見比べる	look from one to another, compare
みほん	見本	sample, model
みはらし	見晴らし	view, outlook
みかた	見方	view, way of looking
けんとう	見当	estimate, aim
みまもる	見守る	watch, keep watch over
けんがく	見学	observation tour, study tour, field trip
みあい	見合い	meeting with a view to marriage
みだし	見出し	headline, heading
みごと	見事	splendid, admirable
みおろす	見下ろす	look down, overlook
みあげる	見上げる	look up
みる	見る	see, look at
みつめる	見つめる	stare
みつける	見つける	find
みつかる	見つかる	be found, be caught
みせる	見せる	show
みかけ	見かけ	looks, appearance
みえる	見える	be visible
おおう	覆う	cover, hide
ようこう	要項	important points
ようせい	要請	request, demand
ようてん	要点	main point, gist
ようきゅう	要求	requirement, demand
ようぼう	要望	demand, request
ようし	要旨	gist, overview
よういん	要因	primary factor, main cause
いる	要る	need, require
ようするに	要するに	in a word, in short
