底	底 そこ bottom; sole
好み	好み このみ liking; taste; choice
権利	権利 けんり right; privilege
留学	留学 りゅうがく studying abroad (usu. at university level)
評判	評判 ひょうばん fame; reputation; popularity; rumour (rumor); talk
父親	父親 ちちおや father
実験	実験 じっけん experiment
大使	大使 たいし ambassador
思い出	思い出 おもいで memories; recollections; reminiscence
深刻	深刻 しんこく serious; severe; grave; acute
国会	国会 こっかい National Diet; parliament; congress
答案	答案 とうあん examination paper; examination script
銀	銀 ぎん silver (Ag); silver coin; money; silver medal; silver colour; silver color; silver general
予防	予防 よぼう prevention; precaution; protection against
思わず	思わず おもわず unintentionally; reflexively; spontaneously; involuntarily; instinctively
攻撃	攻撃 こうげき attack; strike; offensive; criticism; censure; denunciation; condemnation
異常	異常 いじょう strangeness; abnormality; disorder
議員	議員 ぎいん member of the Diet, congress or parliament
奥	奥 おく interior; inner part; inside
主婦	主婦 しゅふ housewife; mistress (of the house); homemaker
物質	物質 ぶっしつ material; substance; matter
知事	知事 ちじ prefectural governor
普段	普段 ふだん usual; habitual; ordinary; everyday; always
重視	重視 じゅうし importance; stress; serious consideration; to take something seriously; to attach importance; to stress
豊か	豊か ゆたか abundant; wealthy; plentiful; rich; affluent; very; extremely; full of; great
想像	想像 そうぞう imagination; guess
住民	住民 じゅうみん citizens; inhabitants; residents; population
現状	現状 げんじょう present condition; existing state; status quo; current state
得意	得意 とくい triumph; prosperity; pride; one's strong point; one's forte; one's specialty; frequent customer (client, etc.)
既に	既に すでに already; too late
大陸	大陸 たいりく continent; continental Asia (esp. mainland China); continental Europe
態度	態度 たいど attitude; manner; behaviour
根	根 ね root (of a plant); root (of a tooth, hair, etc.); center (of a pimple, etc.); root root (of all evil, etc.); source; origin; cause; basis; one's true nature; (fishing) reef
誰か	誰か だれか someone; somebody
歓迎	歓迎 かんげい welcome; reception
消防	消防 しょうぼう fire fighting; fire department; fire brigade
恋	恋 こい (romantic) love
飯	飯 めし cooked rice; meal; food; one's livelihood
場面	場面 ばめん scene; setting (e.g. of novel); situation
承認	承認 しょうにん recognition; acknowledgement; acknowledgment; approval; consent; agreement
労働	労働 ろうどう manual labor; manual labour; toil; work; Labour Party
出来事	出来事 できごと incident; affair; happening; event
困難	困難 こんなん difficulty; distress
集団	集団 しゅうだん group; mass
方々	方々 かたがた they (of people); gentlemen (of the ...); you (usu. plural); various
証明	証明 しょうめい proof; verification; certification
首相	首相 しゅしょう prime minister; chancellor (Germany, Austria, etc.); premier
